"Service","Savings Plans for  Compute usage($)","EC2-Instances($)","EC2-Other($)","VPC($)","Elastic Load Balancing($)","WAF($)","Relational Database Service($)","Route 53($)","EC2 Container Registry (ECR)($)","S3($)","CloudFront($)","CloudWatch($)","Tax($)","Key Management Service($)","Total costs($)"
"Service total","14260","13784.2774169447","10173.1847529028","1279.023159705","65.2735425358","42.239247202","5.110294257","3","0.0984145944","0.0098557389","0","0","0","0","39612.2166838806"
"2025-06-01","","455.31369726","66.6376466231","15.21","0.0000172881","0.633333336","0.0766666656","1","0","0","0","0","0","","538.8713611728"
"2025-06-02","","457.1191080387","69.3250399256","18.96","0.0012198553","0.633333336","0.0766696215","","0","0","0","0","","","546.1153707771"
"2025-06-03","","461.1421627793","69.9243197419","18.960843055","0.0021467908","0.633333336","0.0766696215","","0","0","0","0","","","550.7394753245"
"2025-06-04","","461.1109369725","69.6623569213","18.96","0.0057107221","0.633333336","0.076669628","","0","0","0","0","","","550.4490075799"
"2025-06-05","","461.1508173674","69.6969316208","18.96169722","0.0016585142","0.633333336","0.0766696278","","0","0","0","0","","","550.5211076862"
"2025-06-06","","461.1256599131","69.6466955437","18.96","0.0023931999","0.633333336","0.0766696278","","0","0","0","0","","","550.4447516205"
"2025-06-07","","461.8841878765","69.6466932332","18.96","0.0028181888","0.633333336","0.0766696085","","0","0","0","0","","","551.203702243"
"2025-06-08","","462.3605499156","69.7464755149","18.963855545","0.0015330776","0.633333336","0.0766696279","","0","0","0","0","","","551.782417017"
"2025-06-09","","462.7905961326","70.3794810163","18.96127639","0.0013034825","0.633333336","0.0766696218","","0","0","0","0","","","552.8426599792"
"2025-06-10","100","325.0153672217","73.2614457849","18.96","0.0013548649","0.633333336","0.0766696282","","0","0","0","0","0","","517.9481708357"
"2025-06-11","240","131.0412900857","70.9641492788","18.96084167","0.9462361079","0.633333336","0.0766696277","","0","0","0","0","","","462.6225201061"
"2025-06-12","240","131.6357760443","70.713603601","18.961254165","1.6211248791","0.633333336","0.0766696278","","0","0","0","0","","","463.6417616532"
