COMMAND       PID USER   FD   TYPE   DEVICE SIZE/OFF NODE NAME
odysseygo 2427610 root   17u  IPv6 86722794      0t0  TCP *:9651 (LISTEN)
odysseygo 2427610 root   71u  IPv6 87111793      0t0  TCP ip-172-31-29-29.ec2.internal:9651->ec2-54-197-102-41.compute-1.amazonaws.com:55330 (ESTABLISHED)
odysseygo 2427610 root   72u  IPv4 87287778      0t0  TCP ip-172-31-29-29.ec2.internal:60222->104.236.110.97:9651 (ESTABLISHED)
odysseygo 2427610 root   73u  IPv4 87565321      0t0  TCP ip-172-31-29-29.ec2.internal:59998->ec2-107-23-180-98.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 2427610 root   74u  IPv4 87580765      0t0  TCP ip-172-31-29-29.ec2.internal:44990->ec2-54-236-131-114.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 2427610 root   81u  IPv6 88287943      0t0  TCP ip-172-31-29-29.ec2.internal:9651->static.159.52.109.65.clients.your-server.de:42120 (ESTABLISHED)
odysseygo 2427610 root   82u  IPv6 88290524      0t0  TCP ip-172-31-29-29.ec2.internal:9651->static.194.78.108.65.clients.your-server.de:43908 (ESTABLISHED)
odysseygo 2427610 root   83u  IPv6 88290566      0t0  TCP ip-172-31-29-29.ec2.internal:9651->static.32.122.108.65.clients.your-server.de:44334 (ESTABLISHED)
odysseygo 2427610 root   84u  IPv6 88287960      0t0  TCP ip-172-31-29-29.ec2.internal:9651->static.107.144.132.142.clients.your-server.de:51498 (ESTABLISHED)
odysseygo 2427610 root   85u  IPv6 88323787      0t0  TCP ip-172-31-29-29.ec2.internal:9651->ec2-18-235-227-173.compute-1.amazonaws.com:47648 (ESTABLISHED)
odysseygo 2427610 root   86u  IPv4 88323054      0t0  TCP ip-172-31-29-29.ec2.internal:42418->ec2-54-225-236-76.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 2427610 root   87u  IPv4 88397953      0t0  TCP ip-172-31-29-29.ec2.internal:45950->ec2-52-3-14-29.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 2427610 root   88u  IPv4 88401445      0t0  TCP ip-172-31-29-29.ec2.internal:41252->ec2-54-226-181-43.compute-1.amazonaws.com:9651 (SYN_SENT)
odysseygo 2427610 root   94u  IPv6 86720194      0t0  TCP ip-172-31-29-29.ec2.internal:9651->ec2-34-234-4-103.compute-1.amazonaws.com:51360 (ESTABLISHED)
