COMMAND     PID USER   FD   TYPE   DEVICE SIZE/OFF NODE NAME
odysseygo 31928 root   12u  IPv6   237948      0t0  TCP *:9651 (LISTEN)
odysseygo 31928 root   14u  IPv6   843021      0t0  TCP ip-172-31-25-79.ec2.internal:9651->ec2-35-174-148-147.compute-1.amazonaws.com:40210 (ESTABLISHED)
odysseygo 31928 root   15u  IPv6  3004845      0t0  TCP ip-172-31-25-79.ec2.internal:9651->ec2-3-91-229-25.compute-1.amazonaws.com:48346 (ESTABLISHED)
odysseygo 31928 root   16u  IPv6   842136      0t0  TCP ip-172-31-25-79.ec2.internal:9651->ec2-52-3-189-202.compute-1.amazonaws.com:52798 (ESTABLISHED)
odysseygo 31928 root   18u  IPv6  3006468      0t0  TCP ip-172-31-25-79.ec2.internal:9651->ec2-34-228-222-195.compute-1.amazonaws.com:47062 (ESTABLISHED)
odysseygo 31928 root   19u  IPv4   842095      0t0  TCP ip-172-31-25-79.ec2.internal:41216->ec2-44-211-0-202.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 31928 root   21u  IPv6  3005822      0t0  TCP ip-172-31-25-79.ec2.internal:9651->ec2-34-227-72-239.compute-1.amazonaws.com:52918 (ESTABLISHED)
odysseygo 31928 root   22u  IPv4   843015      0t0  TCP ip-172-31-25-79.ec2.internal:48234->ec2-34-197-125-83.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 31928 root   23u  IPv4   840550      0t0  TCP ip-172-31-25-79.ec2.internal:55242->ec2-107-23-226-228.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 31928 root   24u  IPv4 95561312      0t0  TCP ip-172-31-25-79.ec2.internal:38700->ec2-54-225-236-76.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 31928 root   25u  IPv4   840561      0t0  TCP ip-172-31-25-79.ec2.internal:58372->ec2-54-85-9-116.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 31928 root   26u  IPv6   840688      0t0  TCP ip-172-31-25-79.ec2.internal:9651->ec2-34-202-198-117.compute-1.amazonaws.com:59188 (ESTABLISHED)
odysseygo 31928 root   28u  IPv4   841079      0t0  TCP ip-172-31-25-79.ec2.internal:56458->ec2-52-70-38-106.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 31928 root   29u  IPv4   841041      0t0  TCP ip-172-31-25-79.ec2.internal:51110->ec2-44-218-214-164.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 31928 root   30u  IPv4   841080      0t0  TCP ip-172-31-25-79.ec2.internal:39764->ec2-3-232-45-182.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 31928 root   31u  IPv4   841038      0t0  TCP ip-172-31-25-79.ec2.internal:45744->ec2-50-19-151-55.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 31928 root   32u  IPv4   840562      0t0  TCP ip-172-31-25-79.ec2.internal:60624->ec2-18-215-213-100.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 31928 root   33u  IPv4   842105      0t0  TCP ip-172-31-25-79.ec2.internal:60148->ec2-18-207-171-20.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 31928 root   34u  IPv4   842088      0t0  TCP ip-172-31-25-79.ec2.internal:36056->ec2-98-82-251-216.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 31928 root   36u  IPv6   840639      0t0  TCP ip-172-31-25-79.ec2.internal:9651->ec2-34-206-248-174.compute-1.amazonaws.com:48780 (ESTABLISHED)
odysseygo 31928 root   37u  IPv6   843018      0t0  TCP ip-172-31-25-79.ec2.internal:9651->ec2-18-206-17-246.compute-1.amazonaws.com:41792 (ESTABLISHED)
