COMMAND   PID USER   FD   TYPE   DEVICE SIZE/OFF NODE NAME
odysseygo 439 root   17u  IPv6     4080      0t0  TCP *:9651 (LISTEN)
odysseygo 439 root   19u  IPv6     5074      0t0  TCP ip-172-31-24-48.ec2.internal:9651->ec2-174-129-137-236.compute-1.amazonaws.com:60710 (ESTABLISHED)
odysseygo 439 root   22u  IPv6     7417      0t0  TCP ip-172-31-24-48.ec2.internal:9651->ec2-34-228-222-195.compute-1.amazonaws.com:59182 (ESTABLISHED)
odysseygo 439 root   23u  IPv6     5404      0t0  TCP ip-172-31-24-48.ec2.internal:9651->ec2-34-227-72-239.compute-1.amazonaws.com:37900 (ESTABLISHED)
odysseygo 439 root   24u  IPv6   962087      0t0  TCP ip-172-31-24-48.ec2.internal:9651->ec2-54-158-175-165.compute-1.amazonaws.com:54866 (ESTABLISHED)
odysseygo 439 root   25u  IPv6     5079      0t0  TCP ip-172-31-24-48.ec2.internal:9651->ec2-52-202-179-225.compute-1.amazonaws.com:37336 (ESTABLISHED)
odysseygo 439 root   29u  IPv6 89097883      0t0  TCP ip-172-31-24-48.ec2.internal:9651->static.107.144.132.142.clients.your-server.de:60826 (ESTABLISHED)
odysseygo 439 root   43u  IPv6 89119612      0t0  TCP ip-172-31-24-48.ec2.internal:9651->212.192.49.56:58030 (ESTABLISHED)
odysseygo 439 root   44u  IPv4  2990557      0t0  TCP ip-172-31-24-48.ec2.internal:37448->ec2-107-21-238-130.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 439 root   45u  IPv4    24214      0t0  TCP ip-172-31-24-48.ec2.internal:52202->ec2-52-70-38-106.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 439 root   67u  IPv6   263097      0t0  TCP ip-172-31-24-48.ec2.internal:9651->ec2-44-210-177-215.compute-1.amazonaws.com:43298 (ESTABLISHED)
odysseygo 439 root   72u  IPv6 89099475      0t0  TCP ip-172-31-24-48.ec2.internal:9651->static.194.78.108.65.clients.your-server.de:58878 (ESTABLISHED)
odysseygo 439 root   73u  IPv6     4871      0t0  TCP ip-172-31-24-48.ec2.internal:9651->ec2-98-82-240-103.compute-1.amazonaws.com:43392 (ESTABLISHED)
odysseygo 439 root   75u  IPv6     5174      0t0  TCP ip-172-31-24-48.ec2.internal:9651->ec2-34-197-125-83.compute-1.amazonaws.com:44700 (ESTABLISHED)
odysseygo 439 root   77u  IPv4  4839862      0t0  TCP ip-172-31-24-48.ec2.internal:55352->ec2-35-169-66-196.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 439 root   85u  IPv6 88669560      0t0  TCP ip-172-31-24-48.ec2.internal:9651->165.227.179.96:44234 (ESTABLISHED)
odysseygo 439 root   86u  IPv4  6148868      0t0  TCP ip-172-31-24-48.ec2.internal:50438->ec2-54-197-55-84.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 439 root   87u  IPv6  6150308      0t0  TCP ip-172-31-24-48.ec2.internal:9651->ec2-18-235-252-133.compute-1.amazonaws.com:57832 (ESTABLISHED)
odysseygo 439 root   88u  IPv4  3827172      0t0  TCP ip-172-31-24-48.ec2.internal:47050->ec2-34-206-59-82.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 439 root   94u  IPv6 89097061      0t0  TCP ip-172-31-24-48.ec2.internal:9651->static.159.52.109.65.clients.your-server.de:49228 (ESTABLISHED)
odysseygo 439 root   95u  IPv4     6178      0t0  TCP ip-172-31-24-48.ec2.internal:35878->ec2-54-227-196-194.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 439 root   96u  IPv4     6179      0t0  TCP ip-172-31-24-48.ec2.internal:52790->ec2-44-223-151-51.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 439 root   97u  IPv6 33503512      0t0  TCP ip-172-31-24-48.ec2.internal:9651->104.236.110.97:53372 (ESTABLISHED)
odysseygo 439 root   98u  IPv4     5184      0t0  TCP ip-172-31-24-48.ec2.internal:43460->ec2-54-85-9-116.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 439 root   99u  IPv4     5185      0t0  TCP ip-172-31-24-48.ec2.internal:48956->ec2-54-174-93-130.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 439 root  100u  IPv4 20902947      0t0  TCP ip-172-31-24-48.ec2.internal:38976->ec2-3-223-220-64.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 439 root  101u  IPv4     5187      0t0  TCP ip-172-31-24-48.ec2.internal:41110->ec2-54-86-40-233.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 439 root  102u  IPv4     7205      0t0  TCP ip-172-31-24-48.ec2.internal:38364->ec2-98-82-251-216.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 439 root  103u  IPv6 88871596      0t0  TCP ip-172-31-24-48.ec2.internal:9651->ec2-35-72-54-251.ap-northeast-1.compute.amazonaws.com:36884 (ESTABLISHED)
odysseygo 439 root  104u  IPv4     7206      0t0  TCP ip-172-31-24-48.ec2.internal:54802->ec2-54-224-250-2.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 439 root  105u  IPv4     5189      0t0  TCP ip-172-31-24-48.ec2.internal:52676->ec2-34-202-198-117.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 439 root  107u  IPv4     5193      0t0  TCP ip-172-31-24-48.ec2.internal:35728->ec2-34-197-148-157.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 439 root  108u  IPv4     4916      0t0  TCP ip-172-31-24-48.ec2.internal:51650->ec2-35-174-148-147.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 439 root  109u  IPv4 89123312      0t0  TCP ip-172-31-24-48.ec2.internal:56632->ec2-54-225-236-76.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 439 root  110u  IPv4     4917      0t0  TCP ip-172-31-24-48.ec2.internal:37058->ec2-34-203-168-140.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 439 root  111u  IPv4     7208      0t0  TCP ip-172-31-24-48.ec2.internal:45788->ec2-52-71-181-255.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 439 root  112u  IPv4     7209      0t0  TCP ip-172-31-24-48.ec2.internal:55514->ec2-34-197-104-250.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 439 root  113u  IPv4     4918      0t0  TCP ip-172-31-24-48.ec2.internal:46634->ec2-34-196-243-223.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 439 root  114u  IPv4     4919      0t0  TCP ip-172-31-24-48.ec2.internal:59914->ec2-3-218-45-144.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 439 root  115u  IPv4     4920      0t0  TCP ip-172-31-24-48.ec2.internal:49300->ec2-34-206-248-174.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 439 root  116u  IPv4     4921      0t0  TCP ip-172-31-24-48.ec2.internal:43344->ec2-50-19-116-199.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 439 root  117u  IPv4     7211      0t0  TCP ip-172-31-24-48.ec2.internal:52252->ec2-18-207-171-20.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 439 root  118u  IPv4     4934      0t0  TCP ip-172-31-24-48.ec2.internal:52128->ec2-3-225-79-249.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 439 root  119u  IPv4     5202      0t0  TCP ip-172-31-24-48.ec2.internal:60966->ec2-34-234-4-103.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 439 root  120u  IPv6     6186      0t0  TCP ip-172-31-24-48.ec2.internal:9651->ec2-3-91-229-25.compute-1.amazonaws.com:43880 (ESTABLISHED)
odysseygo 439 root  121u  IPv4     6188      0t0  TCP ip-172-31-24-48.ec2.internal:47728->ec2-3-228-129-216.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 439 root  122u  IPv4     6189      0t0  TCP ip-172-31-24-48.ec2.internal:41736->ec2-107-20-201-207.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 439 root  123u  IPv6  6149806      0t0  TCP ip-172-31-24-48.ec2.internal:9651->ec2-18-233-119-27.compute-1.amazonaws.com:38544 (ESTABLISHED)
odysseygo 439 root  124u  IPv4     5220      0t0  TCP ip-172-31-24-48.ec2.internal:60692->ec2-3-230-225-34.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 439 root  125u  IPv4     5221      0t0  TCP ip-172-31-24-48.ec2.internal:38130->ec2-18-206-17-246.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 439 root  126u  IPv4 88835291      0t0  TCP ip-172-31-24-48.ec2.internal:34566->ec2-107-23-180-98.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 439 root  127u  IPv4     7303      0t0  TCP ip-172-31-24-48.ec2.internal:44028->ec2-23-21-27-140.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 439 root  128u  IPv4     7306      0t0  TCP ip-172-31-24-48.ec2.internal:50494->ec2-54-146-211-74.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 439 root  129u  IPv4     6201      0t0  TCP ip-172-31-24-48.ec2.internal:59960->ec2-18-207-74-220.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 439 root  130u  IPv4     5255      0t0  TCP ip-172-31-24-48.ec2.internal:57046->ec2-3-93-84-116.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 439 root  131u  IPv4     6204      0t0  TCP ip-172-31-24-48.ec2.internal:55860->ec2-35-169-184-86.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 439 root  132u  IPv4     4949      0t0  TCP ip-172-31-24-48.ec2.internal:49366->ec2-18-233-204-144.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 439 root  134u  IPv6 88394384      0t0  TCP ip-172-31-24-48.ec2.internal:9651->ec2-44-219-130-13.compute-1.amazonaws.com:42608 (ESTABLISHED)
odysseygo 439 root  135u  IPv4     7330      0t0  TCP ip-172-31-24-48.ec2.internal:41854->ec2-98-83-188-107.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 439 root  136u  IPv4     7337      0t0  TCP ip-172-31-24-48.ec2.internal:39630->ec2-23-22-40-156.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 439 root  137u  IPv4     7342      0t0  TCP ip-172-31-24-48.ec2.internal:41326->ec2-34-205-163-144.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 439 root  138u  IPv4 88841076      0t0  TCP ip-172-31-24-48.ec2.internal:60760->ec2-54-236-131-114.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 439 root  139u  IPv4     6231      0t0  TCP ip-172-31-24-48.ec2.internal:53180->ec2-50-19-151-55.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 439 root  140u  IPv4     5285      0t0  TCP ip-172-31-24-48.ec2.internal:54038->ec2-107-23-226-228.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 439 root  141u  IPv4     6249      0t0  TCP ip-172-31-24-48.ec2.internal:47370->ec2-18-215-213-100.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 439 root  142u  IPv4     6251      0t0  TCP ip-172-31-24-48.ec2.internal:53880->ec2-23-21-204-131.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 439 root  143u  IPv4     5290      0t0  TCP ip-172-31-24-48.ec2.internal:45806->ec2-34-195-184-106.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 439 root  144u  IPv4     5291      0t0  TCP ip-172-31-24-48.ec2.internal:53982->ec2-52-45-71-227.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 439 root  146u  IPv4     6252      0t0  TCP ip-172-31-24-48.ec2.internal:43838->ec2-44-214-160-107.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 439 root  147u  IPv4     6253      0t0  TCP ip-172-31-24-48.ec2.internal:36776->ec2-34-202-51-225.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 439 root  148u  IPv4     7347      0t0  TCP ip-172-31-24-48.ec2.internal:60076->ec2-23-22-195-89.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 439 root  150u  IPv4     6255      0t0  TCP ip-172-31-24-48.ec2.internal:52246->ec2-3-232-45-182.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 439 root  151u  IPv6 89098786      0t0  TCP ip-172-31-24-48.ec2.internal:9651->static.32.122.108.65.clients.your-server.de:53020 (ESTABLISHED)
odysseygo 439 root  152u  IPv4     5005      0t0  TCP ip-172-31-24-48.ec2.internal:40152->ec2-34-206-101-137.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 439 root  153u  IPv4     5006      0t0  TCP ip-172-31-24-48.ec2.internal:41444->ec2-44-218-214-164.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 439 root  154u  IPv4     5007      0t0  TCP ip-172-31-24-48.ec2.internal:44936->ec2-35-168-79-8.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 439 root  155u  IPv4     7372      0t0  TCP ip-172-31-24-48.ec2.internal:41664->ec2-18-215-11-46.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 439 root  156u  IPv4     5008      0t0  TCP ip-172-31-24-48.ec2.internal:36276->ec2-52-54-223-196.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 439 root  157u  IPv4     5319      0t0  TCP ip-172-31-24-48.ec2.internal:42418->ec2-98-80-46-175.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 439 root  158u  IPv6 88576435      0t0  TCP ip-172-31-24-48.ec2.internal:9651->ec2-54-197-102-41.compute-1.amazonaws.com:37078 (ESTABLISHED)
