COMMAND     PID USER   FD   TYPE   DEVICE SIZE/OFF NODE NAME
odysseygo 32561 root   11u  IPv6 91610642      0t0  TCP ip-172-31-17-110.ec2.internal:9651->static.32.122.108.65.clients.your-server.de:50378 (ESTABLISHED)
odysseygo 32561 root   12u  IPv6   233477      0t0  TCP *:9651 (LISTEN)
odysseygo 32561 root   14u  IPv6  2158034      0t0  TCP ip-172-31-17-110.ec2.internal:9651->ec2-34-228-222-195.compute-1.amazonaws.com:43926 (ESTABLISHED)
odysseygo 32561 root   16u  IPv4   779203      0t0  TCP ip-172-31-17-110.ec2.internal:56298->ec2-54-226-62-214.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 32561 root   17u  IPv4 91630635      0t0  TCP ip-172-31-17-110.ec2.internal:33320->ec2-54-225-236-76.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 32561 root   18u  IPv6  2159085      0t0  TCP ip-172-31-17-110.ec2.internal:9651->ec2-3-91-229-25.compute-1.amazonaws.com:60556 (ESTABLISHED)
odysseygo 32561 root   19u  IPv6  3652326      0t0  TCP ip-172-31-17-110.ec2.internal:9651->ec2-44-210-177-215.compute-1.amazonaws.com:47786 (ESTABLISHED)
odysseygo 32561 root   20u  IPv4   777775      0t0  TCP ip-172-31-17-110.ec2.internal:56004->ec2-107-23-226-228.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 32561 root   21u  IPv4 91385566      0t0  TCP ip-172-31-17-110.ec2.internal:45456->ec2-107-23-180-98.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 32561 root   22u  IPv4   780782      0t0  TCP ip-172-31-17-110.ec2.internal:48780->ec2-52-45-71-227.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 32561 root   23u  IPv4   779237      0t0  TCP ip-172-31-17-110.ec2.internal:52886->ec2-18-207-171-20.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 32561 root   24u  IPv4   777763      0t0  TCP ip-172-31-17-110.ec2.internal:46404->ec2-23-23-81-139.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 32561 root   25u  IPv6  2158040      0t0  TCP ip-172-31-17-110.ec2.internal:9651->ec2-34-227-72-239.compute-1.amazonaws.com:43196 (ESTABLISHED)
odysseygo 32561 root   26u  IPv4   777801      0t0  TCP ip-172-31-17-110.ec2.internal:41042->ec2-34-196-243-223.compute-1.amazonaws.com:9651 (ESTABLISHED)
