COMMAND      PID USER   FD   TYPE   DEVICE SIZE/OFF NODE NAME
odysseygo 291902 root   16u  IPv6 91879912      0t0  TCP *:9651 (LISTEN)
odysseygo 291902 root   18u  IPv4 91876074      0t0  TCP ip-172-31-24-48.ec2.internal:58872->ec2-54-234-119-150.compute-1.amazonaws.com:9651 (SYN_SENT)
odysseygo 291902 root   19u  IPv4 91879914      0t0  TCP ip-172-31-24-48.ec2.internal:49264->ec2-54-161-3-14.compute-1.amazonaws.com:9651 (SYN_SENT)
odysseygo 291902 root   20u  IPv4 91880544      0t0  TCP ip-172-31-24-48.ec2.internal:37402->ec2-54-234-230-97.compute-1.amazonaws.com:9651 (SYN_SENT)
odysseygo 291902 root   21u  IPv4 91876075      0t0  TCP ip-172-31-24-48.ec2.internal:60094->ec2-18-215-156-233.compute-1.amazonaws.com:9651 (SYN_SENT)
odysseygo 291902 root   22u  IPv4 91876076      0t0  TCP ip-172-31-24-48.ec2.internal:40204->ec2-18-207-128-162.compute-1.amazonaws.com:9651 (SYN_SENT)
odysseygo 291902 root   23u  IPv4 91876077      0t0  TCP ip-172-31-24-48.ec2.internal:52994->ec2-54-221-187-97.compute-1.amazonaws.com:9651 (SYN_SENT)
odysseygo 291902 root   24u  IPv4 91880546      0t0  TCP ip-172-31-24-48.ec2.internal:50348->ec2-34-236-152-163.compute-1.amazonaws.com:9651 (SYN_SENT)
odysseygo 291902 root   25u  IPv4 91876078      0t0  TCP ip-172-31-24-48.ec2.internal:44142->ec2-34-203-240-48.compute-1.amazonaws.com:9651 (SYN_SENT)
odysseygo 291902 root   26u  IPv4 91880547      0t0  TCP ip-172-31-24-48.ec2.internal:44614->ec2-54-196-131-164.compute-1.amazonaws.com:9651 (SYN_SENT)
odysseygo 291902 root   27u  IPv4 91879915      0t0  TCP ip-172-31-24-48.ec2.internal:55792->ec2-98-84-132-90.compute-1.amazonaws.com:9651 (SYN_SENT)
odysseygo 291902 root   28u  IPv4 91876079      0t0  TCP ip-172-31-24-48.ec2.internal:55566->ec2-54-147-21-122.compute-1.amazonaws.com:9651 (SYN_SENT)
odysseygo 291902 root   29u  IPv4 91880548      0t0  TCP ip-172-31-24-48.ec2.internal:34224->ec2-100-27-214-253.compute-1.amazonaws.com:9651 (SYN_SENT)
odysseygo 291902 root   30u  IPv4 91879916      0t0  TCP ip-172-31-24-48.ec2.internal:49350->ec2-54-172-169-61.compute-1.amazonaws.com:9651 (SYN_SENT)
odysseygo 291902 root   31u  IPv4 91876080      0t0  TCP ip-172-31-24-48.ec2.internal:56468->ec2-3-91-255-179.compute-1.amazonaws.com:9651 (SYN_SENT)
odysseygo 291902 root   32u  IPv4 91879917      0t0  TCP ip-172-31-24-48.ec2.internal:58964->ec2-54-210-155-46.compute-1.amazonaws.com:9651 (SYN_SENT)
odysseygo 291902 root   33u  IPv4 91880549      0t0  TCP ip-172-31-24-48.ec2.internal:43892->ec2-54-90-128-202.compute-1.amazonaws.com:9651 (SYN_SENT)
odysseygo 291902 root   34u  IPv4 91876081      0t0  TCP ip-172-31-24-48.ec2.internal:48226->ec2-3-89-29-153.compute-1.amazonaws.com:9651 (SYN_SENT)
odysseygo 291902 root   35u  IPv4 91880550      0t0  TCP ip-172-31-24-48.ec2.internal:44790->ec2-54-226-181-43.compute-1.amazonaws.com:9651 (SYN_SENT)
odysseygo 291902 root   36u  IPv4 91879918      0t0  TCP ip-172-31-24-48.ec2.internal:52876->ec2-18-208-194-23.compute-1.amazonaws.com:9651 (SYN_SENT)
odysseygo 291902 root   37u  IPv4 91876082      0t0  TCP ip-172-31-24-48.ec2.internal:45914->ec2-34-224-26-52.compute-1.amazonaws.com:9651 (SYN_SENT)
odysseygo 291902 root   38u  IPv4 91880551      0t0  TCP ip-172-31-24-48.ec2.internal:34084->ec2-54-80-191-177.compute-1.amazonaws.com:9651 (SYN_SENT)
odysseygo 291902 root   39u  IPv4 91879919      0t0  TCP ip-172-31-24-48.ec2.internal:55152->ec2-54-173-66-105.compute-1.amazonaws.com:9651 (SYN_SENT)
odysseygo 291902 root   40u  IPv4 91876083      0t0  TCP ip-172-31-24-48.ec2.internal:51334->ec2-35-174-15-171.compute-1.amazonaws.com:9651 (SYN_SENT)
odysseygo 291902 root   41u  IPv4 91879920      0t0  TCP ip-172-31-24-48.ec2.internal:36334->ec2-54-160-143-105.compute-1.amazonaws.com:9651 (SYN_SENT)
